year,month,average
2022,6,417.5
2022,7,415.82
2022,8,414.45
2022,9,414.59
2022,10,416.11
2022,11,417.72
2022,12,418.72
2023,1,419.25
2023,2,419.67
2023,3,419.97
2023,4,420.33
2023,5,420.5
